"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"DUSP2",0.744,0.748846600577717,0.488,0.748846600577717,0.841,0.651,"0","DUSP2","0"
"MAFB",0.709,1.31376004259632,0.418,1.31376004259632,0.712,0.418,"0","MAFB","0"
"BTNL9",0.803,0.933109892597393,0.606,0.933109892597393,0.958,0.827,"1","BTNL9","1"
"COL4A1",0.797,0.964591694962711,0.594,0.964591694962711,0.982,0.835,"1","COL4A1","1"
"COL15A1",0.796,1.00948607925216,0.592,1.00948607925216,0.992,0.927,"1","COL15A1","1"
"PLVAP",0.775,0.837563305124915,0.55,0.837563305124915,0.988,0.897,"1","PLVAP","1"
"GSN",0.766,0.872858866194428,0.532,0.872858866194427,0.986,0.905,"1","GSN","1"
"SPARC",0.762,0.679230291783258,0.524,0.679230291783256,0.99,0.891,"1","SPARC","1"
"APC",0.761,0.396353352280407,0.522,0.396353352280407,0.879,0.579,"1","APC","1"
"PIEZO2",0.76,0.558571847587935,0.52,0.558571847587935,0.844,0.631,"1","PIEZO2","1"
"PPM1F",0.758,0.531541846648417,0.516,0.531541846648418,0.851,0.471,"1","PPM1F","1"
"NHSL2",0.754,0.308400244730512,0.508,0.308400244730512,0.885,0.609,"1","NHSL2","1"
"COL4A2",0.753,0.855106880494884,0.506,0.855106880494882,0.978,0.85,"1","COL4A2","1"
"SPRY1",0.753,0.744434720520943,0.506,0.744434720520944,0.99,0.907,"1","SPRY1","1"
"NOTCH4",0.753,0.714119074273859,0.506,0.714119074273857,0.931,0.674,"1","NOTCH4","1"
"VWA1",0.752,0.77253265161032,0.504,0.772532651610318,0.962,0.797,"1","VWA1","1"
"ARHGAP29",0.751,0.82301778435336,0.502,0.82301778435336,0.966,0.789,"1","ARHGAP29","1"
"PLEKHG5",0.748,0.379911046221219,0.496,0.379911046221219,0.792,0.405,"1","PLEKHG5","1"
"VASH1-AS1",0.746,0.296177128184233,0.492,0.296177128184233,0.792,0.496,"1","VASH1-AS1","1"
"CACHD1",0.743,0.460649509121466,0.486,0.460649509121466,0.927,0.825,"1","CACHD1","1"
"TSPAN13",0.741,0.591410968310381,0.482,0.591410968310381,0.907,0.555,"1","TSPAN13","1"
"GALNT18",0.74,0.427962350477905,0.48,0.427962350477904,0.875,0.625,"1","GALNT18","1"
"KIAA1671",0.737,0.382324402434302,0.474,0.382324402434301,0.887,0.674,"1","KIAA1671","1"
"SPG11",0.736,0.310881094390149,0.472,0.310881094390149,0.895,0.741,"1","SPG11","1"
"ETS1",0.734,0.662152405917097,0.468,0.662152405917097,0.99,0.858,"1","ETS1","1"
"AFAP1L1",0.734,0.596931722000626,0.468,0.596931722000625,0.846,0.569,"1","AFAP1L1","1"
"RCAN2",0.733,0.352715688608361,0.466,0.352715688608361,0.889,0.757,"1","RCAN2","1"
"INTS3",0.733,0.329785691717186,0.466,0.329785691717187,0.883,0.616,"1","INTS3","1"
"MCC",0.732,0.33383049568483,0.464,0.33383049568483,0.887,0.649,"1","MCC","1"
"RDX",0.729,0.671422098806818,0.458,0.671422098806818,0.956,0.84,"1","RDX","1"
"ITGA1",0.729,0.634693890338999,0.458,0.634693890338999,0.933,0.802,"1","ITGA1","1"
"SGK1",0.728,0.695812158677113,0.456,0.695812158677114,0.941,0.797,"1","SGK1","1"
"PLCB1",0.726,0.726727731902983,0.452,0.726727731902982,0.933,0.801,"1","PLCB1","1"
"RASGRP3",0.726,0.683689026429838,0.452,0.683689026429837,0.879,0.601,"1","RASGRP3","1"
"VSIR",0.726,0.431858516285699,0.452,0.431858516285699,0.865,0.562,"1","VSIR","1"
"FLT4",0.725,0.410386457879699,0.45,0.410386457879699,0.869,0.68,"1","FLT4","1"
"VASH1",0.725,0.34275076717063,0.45,0.34275076717063,0.859,0.62,"1","VASH1","1"
"HSPG2",0.723,0.566729192356966,0.446,0.566729192356963,0.996,0.949,"1","HSPG2","1"
"MCPH1",0.721,0.258388508437152,0.442,0.258388508437152,0.834,0.623,"1","MCPH1","1"
"CD79B",0.721,0.250622933676031,0.442,0.250622933676032,0.82,0.588,"1","CD79B","1"
"PTAR1",0.717,0.287641788730017,0.434,0.287641788730017,0.911,0.79,"1","PTAR1","1"
"RHOT1",0.716,0.292034448362156,0.432,0.292034448362157,0.832,0.645,"1","RHOT1","1"
"NQO1",0.711,0.264153635338237,0.422,0.264153635338237,0.851,0.604,"1","NQO1","1"
"PHC3",0.71,0.349889595515056,0.42,0.349889595515055,0.883,0.703,"1","PHC3","1"
"A2M",0.709,0.606545083123375,0.418,0.606545083123374,0.998,0.966,"1","A2M","1"
"SLC44A2",0.709,0.425443484254975,0.418,0.425443484254976,0.911,0.725,"1","SLC44A2","1"
"FLT1",0.708,0.654790435816034,0.416,0.654790435816032,0.913,0.85,"1","FLT1","1"
"ARAP3",0.706,0.36997490282013,0.412,0.36997490282013,0.798,0.494,"1","ARAP3","1"
"JUP",0.705,0.384402347748096,0.41,0.384402347748097,0.842,0.691,"1","JUP","1"
"EGFL7",0.704,0.563881152438011,0.408,0.563881152438012,0.958,0.887,"1","EGFL7","1"
"TSPAN18",0.703,0.290089930315689,0.406,0.290089930315689,0.873,0.654,"1","TSPAN18","1"
"CPE",0.852,1.55886749629745,0.704,1.55886749629745,0.919,0.545,"2","CPE","2"
"SELP",0.847,1.27147954556251,0.694,1.27147954556251,0.9,0.59,"2","SELP","2"
"ADGRG6",0.842,1.10799891936926,0.684,1.10799891936925,0.906,0.694,"2","ADGRG6","2"
"HLA-DQA2",0.842,0.714871570504422,0.684,0.714871570504422,0.934,0.641,"2","HLA-DQA2","2"
"CCDC68",0.841,0.694785379346491,0.682,0.69478537934649,0.906,0.724,"2","CCDC68","2"
"MADCAM1",0.831,0.984438960390439,0.662,0.984438960390439,0.83,0.411,"2","MADCAM1","2"
"CD74",0.828,0.958483553636554,0.656,0.958483553636554,0.996,0.919,"2","CD74","2"
"MMRN1",0.818,1.02258006093678,0.636,1.02258006093678,0.896,0.63,"2","MMRN1","2"
"RASA4",0.815,0.910172010134745,0.63,0.910172010134744,0.938,0.715,"2","RASA4","2"
"COL23A1",0.812,0.322147693615476,0.624,0.322147693615477,0.823,0.461,"2","COL23A1","2"
"CLEC7A",0.809,0.480477928211356,0.618,0.480477928211356,0.76,0.256,"2","CLEC7A","2"
"SNCA",0.806,0.440380390587225,0.612,0.440380390587225,0.809,0.405,"2","SNCA","2"
"MATN2",0.804,0.638255889622158,0.608,0.638255889622157,0.898,0.651,"2","MATN2","2"
"CTSC",0.803,1.03467795297732,0.606,1.03467795297732,0.955,0.748,"2","CTSC","2"
"NPC2",0.799,0.991213107984074,0.598,0.991213107984074,0.96,0.76,"2","NPC2","2"
"MKL2",0.795,1.00531059571499,0.59,1.00531059571499,0.94,0.729,"2","MKL2","2"
"ACTN1",0.795,0.869975135495418,0.59,0.869975135495418,0.964,0.732,"2","ACTN1","2"
"IL33",0.79,0.796035892389745,0.58,0.796035892389745,0.957,0.796,"2","IL33","2"
"ZDHHC2",0.776,0.261792131117185,0.552,0.261792131117185,0.864,0.692,"2","ZDHHC2","2"
"GOLGA8B",0.772,0.631597190105362,0.544,0.631597190105362,0.809,0.44,"2","GOLGA8B","2"
"KLHL3",0.77,0.612624090150837,0.54,0.612624090150838,0.74,0.346,"2","KLHL3","2"
"ADAM23",0.77,0.469688169240433,0.54,0.469688169240433,0.815,0.678,"2","ADAM23","2"
"LPCAT4",0.765,0.616435932489875,0.53,0.616435932489876,0.838,0.557,"2","LPCAT4","2"
"SETBP1",0.764,0.333849822306966,0.528,0.333849822306967,0.751,0.39,"2","SETBP1","2"
"MLLT10",0.763,0.352493641608819,0.526,0.352493641608818,0.879,0.535,"2","MLLT10","2"
"SPARCL1",0.76,0.781880492673363,0.52,0.781880492673362,0.994,0.935,"2","SPARCL1","2"
"TMEM273",0.76,0.391533287534832,0.52,0.391533287534832,0.847,0.486,"2","TMEM273","2"
"HLA-DQA1",0.759,0.451646248940272,0.518,0.451646248940272,0.804,0.499,"2","HLA-DQA1","2"
"CARMIL1",0.758,0.336401138297279,0.516,0.336401138297279,0.815,0.603,"2","CARMIL1","2"
"INPP4A",0.756,0.281225938898749,0.512,0.281225938898748,0.832,0.586,"2","INPP4A","2"
"PLA1A",0.753,0.547168641628627,0.506,0.547168641628627,0.768,0.501,"2","PLA1A","2"
"CEMIP2",0.751,0.804210000124679,0.502,0.804210000124677,0.928,0.67,"2","CEMIP2","2"
"DUSP23",0.75,0.789018513659908,0.5,0.789018513659908,0.851,0.593,"2","DUSP23","2"
"DAPK1",0.75,0.340050153939982,0.5,0.340050153939982,0.8,0.649,"2","DAPK1","2"
"ACACB",0.747,0.317357009884729,0.494,0.317357009884728,0.755,0.42,"2","ACACB","2"
"ANKRD50",0.746,0.276398158079836,0.492,0.276398158079836,0.832,0.497,"2","ANKRD50","2"
"CTTNBP2",0.745,0.450889372732725,0.49,0.450889372732725,0.745,0.483,"2","CTTNBP2","2"
"TGFBR3",0.74,0.732768252901282,0.48,0.732768252901283,0.904,0.749,"2","TGFBR3","2"
"AGPAT2",0.738,0.320287658450789,0.476,0.320287658450789,0.857,0.6,"2","AGPAT2","2"
"DDX60",0.735,0.357298740564077,0.47,0.357298740564076,0.926,0.849,"2","DDX60","2"
"ENTPD1",0.734,0.689178749535171,0.468,0.689178749535171,0.934,0.701,"2","ENTPD1","2"
"LRRC1",0.734,0.536906134292813,0.468,0.536906134292813,0.728,0.438,"2","LRRC1","2"
"IGFBP7",0.732,0.489715719540956,0.464,0.489715719540954,1,0.96,"2","IGFBP7","2"
"PRCP",0.729,0.576693248935412,0.458,0.576693248935413,0.968,0.851,"2","PRCP","2"
"ACCS",0.726,0.292399291902323,0.452,0.292399291902324,0.798,0.537,"2","ACCS","2"
"CNTNAP3B",0.723,0.757691698486946,0.446,0.757691698486947,0.757,0.498,"2","CNTNAP3B","2"
"TIMP1",0.722,0.724811047647634,0.444,0.724811047647636,0.947,0.822,"2","TIMP1","2"
"INPP1",0.722,0.449610258363426,0.444,0.449610258363426,0.853,0.562,"2","INPP1","2"
"PLXNB2",0.722,0.298444304508595,0.444,0.298444304508595,0.838,0.526,"2","PLXNB2","2"
"IGF2BP2",0.722,0.278067635940557,0.444,0.278067635940557,0.843,0.665,"2","IGF2BP2","2"
"CSF2RB",0.721,0.504021549390132,0.442,0.504021549390132,0.706,0.383,"2","CSF2RB","2"
"ALDH2",0.721,0.366269730334276,0.442,0.366269730334277,0.821,0.634,"2","ALDH2","2"
"DSP",0.721,0.338813207430167,0.442,0.338813207430167,0.783,0.565,"2","DSP","2"
"NRGN",0.721,0.279114821516368,0.442,0.279114821516368,0.777,0.513,"2","NRGN","2"
"NUCB2",0.717,0.544002846222448,0.434,0.544002846222449,0.936,0.743,"2","NUCB2","2"
"AKR1C3",0.717,0.30479975617248,0.434,0.30479975617248,0.847,0.613,"2","AKR1C3","2"
"KLF8",0.716,0.288753831994054,0.432,0.288753831994054,0.809,0.656,"2","KLF8","2"
"AFG3L2",0.716,0.264069369616616,0.432,0.264069369616616,0.847,0.602,"2","AFG3L2","2"
"FAM213A",0.714,0.658624303116048,0.428,0.658624303116047,0.785,0.564,"2","FAM213A","2"
"FBN1",0.713,0.650639470964446,0.426,0.650639470964445,0.915,0.779,"2","FBN1","2"
"NR2F2",0.712,0.653152359517323,0.424,0.653152359517325,0.877,0.661,"2","NR2F2","2"
"CST3",0.712,0.544512528087124,0.424,0.544512528087124,0.979,0.924,"2","CST3","2"
"GPCPD1",0.712,0.279744439972291,0.424,0.279744439972291,0.894,0.725,"2","GPCPD1","2"
"LIPG",0.711,0.287005057328293,0.422,0.287005057328293,0.657,0.282,"2","LIPG","2"
"WSB1",0.71,0.496396105269663,0.42,0.496396105269664,0.981,0.892,"2","WSB1","2"
"ITM2B",0.71,0.490828209571806,0.42,0.490828209571806,0.998,0.963,"2","ITM2B","2"
"SESN3",0.709,0.614932644477785,0.418,0.614932644477786,0.894,0.772,"2","SESN3","2"
"TSPAN6",0.708,0.331771822780002,0.416,0.331771822780001,0.813,0.641,"2","TSPAN6","2"
"FAM198B",0.707,0.576958730132763,0.414,0.576958730132763,0.957,0.843,"2","FAM198B","2"
"REV3L",0.705,0.587041378150306,0.41,0.587041378150306,0.889,0.684,"2","REV3L","2"
"PIGG",0.705,0.266126388461449,0.41,0.266126388461449,0.828,0.665,"2","PIGG","2"
"ICE2",0.704,0.264277503686048,0.408,0.264277503686047,0.887,0.687,"2","ICE2","2"
"ALDH1A1",0.703,0.296433109516998,0.406,0.296433109516998,0.796,0.617,"2","ALDH1A1","2"
"MCTP1",0.701,0.525969576566193,0.402,0.525969576566193,0.953,0.789,"2","MCTP1","2"
"ZKSCAN1",0.701,0.456115873808548,0.402,0.456115873808548,0.845,0.65,"2","ZKSCAN1","2"
"CNBD2",0.771,0.26715726414752,0.542,0.26715726414752,0.812,0.488,"3","CNBD2","3"
"MSX1",0.766,0.674204934016872,0.532,0.674204934016871,0.903,0.633,"3","MSX1","3"
"TRIM16",0.762,0.370799491693841,0.524,0.370799491693841,0.861,0.592,"3","TRIM16","3"
"SESN2",0.76,0.268809631007506,0.52,0.268809631007507,0.812,0.484,"3","SESN2","3"
"SNAI1",0.743,0.801719308482441,0.486,0.801719308482439,0.909,0.646,"3","SNAI1","3"
"CDC42EP2",0.743,0.264148358590204,0.486,0.264148358590204,0.803,0.464,"3","CDC42EP2","3"
"AL118516.1",0.741,0.584759217582795,0.482,0.584759217582794,0.845,0.53,"3","AL118516.1","3"
"SEPHS2",0.728,0.375514034155898,0.456,0.375514034155897,0.906,0.68,"3","SEPHS2","3"
"SPRY4",0.722,0.507091507588822,0.444,0.507091507588822,0.89,0.748,"3","SPRY4","3"
"P2RY61",0.722,0.261532727545845,0.444,0.261532727545846,0.816,0.575,"3","P2RY6","3"
"H2AFX",0.72,0.42353442856604,0.44,0.42353442856604,0.909,0.652,"3","H2AFX","3"
"UBE2S",0.719,0.325540442696886,0.438,0.325540442696886,0.89,0.579,"3","UBE2S","3"
"DGKE",0.711,0.330819241709712,0.422,0.330819241709712,0.848,0.597,"3","DGKE","3"
"FHOD1",0.709,0.305749557502078,0.418,0.305749557502078,0.828,0.609,"3","FHOD1","3"
"YY1",0.708,0.447822401391805,0.416,0.447822401391805,0.935,0.71,"3","YY1","3"
"C1orf54",0.705,0.391710910720201,0.41,0.391710910720201,0.893,0.722,"3","C1orf54","3"
"KLF10",0.704,0.578152937818658,0.408,0.57815293781866,0.951,0.771,"3","KLF10","3"
"CACYBP",0.702,0.378770027322871,0.404,0.378770027322871,0.919,0.699,"3","CACYBP","3"
"UBALD2",0.702,0.370569512155664,0.404,0.370569512155662,0.909,0.72,"3","UBALD2","3"
"TSPAN2",0.857,0.8847531051484,0.714,0.884753105148401,0.862,0.531,"4","TSPAN2","4"
"LTBP4",0.85,1.4147273873789,0.7,1.4147273873789,0.912,0.726,"4","LTBP4","4"
"SEMA3G",0.84,1.30476197470149,0.68,1.30476197470149,0.875,0.71,"4","SEMA3G","4"
"HEY1",0.832,1.24951091189744,0.664,1.24951091189744,0.912,0.571,"4","HEY1","4"
"SRP14",0.828,1.03013136950315,0.656,1.03013136950315,0.983,0.935,"4","SRP14","4"
"ATP13A3",0.822,1.34643040816471,0.644,1.34643040816471,0.967,0.807,"4","ATP13A3","4"
"FGF18",0.822,0.477976670666342,0.644,0.477976670666342,0.817,0.508,"4","FGF18","4"
"EDN1",0.817,1.75544618318898,0.634,1.75544618318898,0.933,0.781,"4","EDN1","4"
"ANXA3",0.817,0.470327715057788,0.634,0.470327715057788,0.762,0.385,"4","ANXA3","4"
"ALS2",0.809,0.268086913265539,0.618,0.26808691326554,0.825,0.448,"4","ALS2","4"
"PPP1R14A",0.807,0.902099908814734,0.614,0.902099908814734,0.825,0.582,"4","PPP1R14A","4"
"FGL2",0.804,1.05716998547891,0.608,1.05716998547891,0.888,0.747,"4","FGL2","4"
"ATP2A3",0.804,0.45477479608667,0.608,0.45477479608667,0.767,0.412,"4","ATP2A3","4"
"RNF144B",0.804,0.353653756714753,0.608,0.353653756714753,0.838,0.574,"4","RNF144B","4"
"PTGER4",0.8,0.753128550638884,0.6,0.753128550638884,0.817,0.532,"4","PTGER4","4"
"SLC9A3R2",0.799,1.01011560527712,0.598,1.01011560527712,0.954,0.847,"4","SLC9A3R2","4"
"DEPP1",0.798,1.17395622975404,0.596,1.17395622975404,0.867,0.563,"4","DEPP1","4"
"SERPINE2",0.798,0.772364721714631,0.596,0.772364721714631,0.771,0.419,"4","SERPINE2","4"
"CAV1",0.797,1.08573929076922,0.594,1.08573929076923,0.983,0.839,"4","CAV1","4"
"CLASP2",0.792,0.37533335749728,0.584,0.375333357497281,0.846,0.623,"4","CLASP2","4"
"PDLIM7",0.791,0.681399069353338,0.582,0.681399069353338,0.929,0.677,"4","PDLIM7","4"
"PLLP",0.786,0.616785309686242,0.572,0.616785309686243,0.779,0.503,"4","PLLP","4"
"S100A6",0.783,0.866286100688243,0.566,0.866286100688243,0.962,0.889,"4","S100A6","4"
"SRGN",0.783,0.815015769879273,0.566,0.815015769879273,0.983,0.945,"4","SRGN","4"
"IFITM3",0.782,0.547924870324516,0.564,0.547924870324516,0.996,0.953,"4","IFITM3","4"
"JAG2",0.781,0.939787923921791,0.562,0.939787923921791,0.921,0.779,"4","JAG2","4"
"SLC6A61",0.781,0.877575252380563,0.562,0.877575252380564,0.958,0.881,"4","SLC6A6","4"
"JAG1",0.778,1.21610889209776,0.556,1.21610889209776,0.938,0.635,"4","JAG1","4"
"SESTD1",0.778,0.694908462485484,0.556,0.694908462485484,0.917,0.696,"4","SESTD1","4"
"NEK7",0.778,0.560519611724856,0.556,0.560519611724856,0.888,0.746,"4","NEK7","4"
"TOX2",0.776,0.375170854404417,0.552,0.375170854404417,0.804,0.603,"4","TOX2","4"
"LEPR",0.775,0.782750653662459,0.55,0.782750653662458,0.946,0.858,"4","LEPR","4"
"MAST4",0.774,0.885870286723635,0.548,0.885870286723638,0.954,0.71,"4","MAST4","4"
"GLUL",0.774,0.878412353389021,0.548,0.878412353389022,0.938,0.77,"4","GLUL","4"
"EFNB2",0.774,0.819805430063318,0.548,0.819805430063318,0.95,0.759,"4","EFNB2","4"
"ELN",0.772,0.776819513718196,0.544,0.776819513718196,0.808,0.54,"4","ELN","4"
"BLOC1S5",0.771,0.310402300030566,0.542,0.310402300030565,0.783,0.53,"4","BLOC1S5","4"
"CDK19",0.771,0.272618640737456,0.542,0.272618640737456,0.796,0.524,"4","CDK19","4"
"ADAMTS6",0.769,1.01076560441212,0.538,1.01076560441212,0.904,0.815,"4","ADAMTS6","4"
"PREX11",0.768,0.57624475738435,0.536,0.57624475738435,0.912,0.77,"4","PREX1","4"
"RNF146",0.765,0.376750725844203,0.53,0.376750725844203,0.842,0.56,"4","RNF146","4"
"CD9",0.763,0.941827109710528,0.526,0.941827109710528,0.908,0.641,"4","CD9","4"
"CD99L2",0.763,0.268104569061387,0.526,0.268104569061387,0.762,0.477,"4","CD99L2","4"
"AQP7",0.762,0.44424362317076,0.524,0.44424362317076,0.825,0.739,"4","AQP7","4"
"ZYG11B",0.756,0.306441291273515,0.512,0.306441291273515,0.829,0.662,"4","ZYG11B","4"
"ATP5PF",0.753,0.886116955777511,0.506,0.886116955777512,0.929,0.744,"4","ATP5PF","4"
"ZNF704",0.753,0.396839021254253,0.506,0.396839021254253,0.8,0.576,"4","ZNF704","4"
"SMAD6",0.751,0.433372161973292,0.502,0.433372161973292,0.871,0.769,"4","SMAD6","4"
"APOL4",0.75,0.359528145348686,0.5,0.359528145348686,0.796,0.605,"4","APOL4","4"
"SLC16A14",0.748,0.488892837854693,0.496,0.488892837854693,0.796,0.589,"4","SLC16A14","4"
"MYEF2",0.748,0.294709684906508,0.496,0.294709684906508,0.783,0.61,"4","MYEF2","4"
"KCTD12",0.747,1.07037015256992,0.494,1.07037015256992,0.917,0.837,"4","KCTD12","4"
"MECOM",0.747,0.811738081295743,0.494,0.811738081295743,0.888,0.768,"4","MECOM","4"
"SNX18",0.747,0.259968165004714,0.494,0.259968165004714,0.792,0.589,"4","SNX18","4"
"TIMP3",0.745,0.971120990187622,0.49,0.971120990187623,0.967,0.868,"4","TIMP3","4"
"SLC26A2",0.744,0.600133740003446,0.488,0.600133740003446,0.754,0.391,"4","SLC26A2","4"
"SYT11",0.744,0.527134362927308,0.488,0.527134362927308,0.838,0.646,"4","SYT11","4"
"HSPA12B",0.744,0.487083807202274,0.488,0.487083807202274,0.838,0.582,"4","HSPA12B","4"
"TMEM140",0.743,0.319823705915218,0.486,0.319823705915218,0.862,0.771,"4","TMEM140","4"
"FBXL3",0.741,0.283270876780315,0.482,0.283270876780314,0.85,0.618,"4","FBXL3","4"
"PIGK",0.741,0.26633479349646,0.482,0.26633479349646,0.779,0.474,"4","PIGK","4"
